운명은 바뀌었다!,SID_運命は変わった！
헌신,SID_献身
"나와라, 불의 아이들",SID_オイデ、ヒノコタチ
춤,SID_踊る
존귀한 용의 피를 이은 소녀,SID_尊き竜の血を継ぐ娘
끌어당기기,SID_引き寄せ
트릭,SID_トリック
무서운 꿈,SID_こわいゆめ
미래를 비추는 눈동자,SID_未来を映す瞳
미래를 비추는 눈동자 승,SID_未来を映す瞳・承
평온한 꿈,SID_やさしいゆめ
유라리 유루레리,SID_ユラリユルレリ
유라리 유루레리 승,SID_ユラリユルレリ・承
일갈,SID_一喝
일갈+,SID_一喝＋
라이브,SID_ライブ
치유의 소녀,SID_癒しの乙女
세인츠,SID_セインツ
세인츠+,SID_セインツ＋
리라이브,SID_リライブ
푸시,SID_プッシュ
푸시+,SID_プッシュ＋
리브로,SID_リブロー
리브로+,SID_リブロー＋
돌아가기,SID_回り込み
연주,SID_奏でる
공격수비의 응원,SID_攻撃守備の応援
공격수비의 응원+,SID_攻撃守備の応援＋
공격마방의 응원,SID_攻撃魔防の応援
공격마방의 응원+,SID_攻撃魔防の応援＋
공격속도의 응원,SID_攻撃速さの応援
공격속도의 응원+,SID_攻撃速さの応援＋
공격의 응원,SID_攻撃の応援
수비마방의 응원,SID_守備魔防の応援
수비마방의 응원+,SID_守備魔防の応援＋
수비의 응원,SID_守備の応援
마방의 응원,SID_魔防の応援
속도수비의 응원,SID_速さ守備の応援
속도수비의 응원+,SID_速さ守備の応援＋
속도마방의 응원,SID_速さ魔防の応援
속도마방의 응원+,SID_速さ魔防の応援＋
속도의 응원,SID_速さの応援
공격의 대응원,SID_攻撃の大応援
공격의 대응원+,SID_攻撃の大応援＋
수비의 대응원,SID_守備の大応援
수비의 대응원+,SID_守備の大応援＋
마방의 대응원,SID_魔防の大応援
마방의 대응원+,SID_魔防の大応援＋
속도의 대응원,SID_速さの大応援
속도의 대응원+,SID_速さの大応援＋
상호원조,SID_相互援助
힐,SID_ヒール
리커버,SID_リカバー
리커버+,SID_リカバー＋
리버스,SID_リバース
리버스+,SID_リバース＋
되돌리기,SID_引き戻し
레스큐,SID_レスキュー
레스큐+,SID_レスキュー＋
레스트,SID_レスト
레스트+,SID_レスト＋
리턴,SID_リターン
리턴+,SID_リターン＋
치유의 손,SID_癒しの手
박치기,SID_体当たり
노래,SID_歌う
밀쳐내기,SID_ぶちかまし
바꾸기,SID_入れ替え
달콤한 꿈,SID_あまいゆめ
운명을 바꾼다!,SID_運命を変える！
하얀 꿈,SID_しろいゆめ
